Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.13471,0.10122,0.061188,0,0,0,5.046,0.013378,-8.4963E-07,-8.6941E-06,0.019959,-3.5792E-07,0.020401,0,0,0,0,0,0,package://4wheel_castle/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_castle/meshes/base_link.STL,,base_link-1,좌표계1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.066688,-0.025617,0.027258,0,0,0,0.26437,3.2075E-05,-1.4412E-07,-6.3085E-08,6.227E-05,-2.0189E-07,6.2852E-05,0,0,0,0,0,0,package://4wheel_castle/meshes/LFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_castle/meshes/LFS.STL,,Suspensionsystem-2,Origin_LFS,Axis_LFS,LFS,prismatic,-0.05081,0.30216,0.029427,2.834,0,-1.5708,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LFW,-0.012316,-2.7756E-17,5.8981E-17,0,0,0,0.19359,0.00025308,2.0397E-19,-4.8808E-19,0.00013682,8.4703E-22,0.00013682,0,0,0,0,0,0,package://4wheel_castle/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_castle/meshes/LFW.STL,,wheel-4,Origin_LFW,Axis_LFW,LFW,continuous,0.00041099,-0.047479,0.052309,1.2177,0,-3.1416,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,0.072447,-0.031683,0.02534,0,0,0,0.26437,3.2075E-05,1.4412E-07,6.3085E-08,6.227E-05,-2.0189E-07,6.2852E-05,0,0,0,0,0,0,package://4wheel_castle/meshes/RFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_castle/meshes/RFS.STL,,Suspensionsystem2-1,Origin_RFS,Axis_RFS,RFS,prismatic,-0.012126,-0.10792,0.029427,2.834,0,1.5708,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RFW,-0.012316,-4.3715E-16,2.7756E-16,0,0,0,0.19359,0.00025308,9.7649E-24,5.1803E-21,0.00013682,1.2705E-21,0.00013682,0,0,0,0,0,0,package://4wheel_castle/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_castle/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,0.0061708,-0.028286,0.058405,-1.8458,0,-3.1416,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,0.075402,-0.020601,0.012626,0,0,0,0.19701,1.688E-05,2.0913E-19,-1.6508E-19,5.0218E-05,1.0509E-06,4.7245E-05,0,0,0,0,0,0,package://4wheel_castle/meshes/LBS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_castle/meshes/LBS.STL,,suspensioncastle-2,Origin_LBS,Axis_LBS,LBS,prismatic,-0.18919,0.30216,-0.0088855,-0.30763,0,-1.5708,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LBC,0.0022127,-8.1059E-05,0,0,0,0,0.03248,8.8638E-06,1.2068E-06,1.1117E-21,2.8292E-06,-1.8885E-21,1.0705E-05,0,0,0,0,0,0,package://4wheel_castle/meshes/LBC.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://4wheel_castle/meshes/LBC.STL,,CastleCatcher-2,Origin_LBC,Axis_LBC,LBC,continuous,0.041161,-0.015068,-0.0047875,1.2633,0.010191,-3.1095,LBS,0,1,0,,,,,,,,,,,,
LBW,0.01765,-2.7756E-17,0,0,0,0,0.19359,0.00025308,-1.7724E-19,7.5598E-20,0.00013682,-5.421E-20,0.00013682,0,0,0,0,0,0,package://4wheel_castle/meshes/LBW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_castle/meshes/LBW.STL,,wheel-3,Origin_LBW,Axis_LBW,LBW,continuous,0.010784,-0.016873,0,-2.4052,0,0,LBC,1,0,0,3.1,7,,,,,,,,,,
RBS,0.075402,-0.0095357,-0.022201,0,0,0,0.19701,1.688E-05,-8.6208E-20,-8.6487E-21,5.0218E-05,1.0509E-06,4.7245E-05,0,0,0,0,0,0,package://4wheel_castle/meshes/RBS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_castle/meshes/RBS.STL,,suspensioncastle-1,Origin_RBS,Axis_RBS,RBS,prismatic,-0.18919,-0.10216,-0.015774,2.834,0,1.5708,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RBC,0.0022127,-8.1059E-05,-2.7756E-17,0,0,0,0.03248,8.8638E-06,1.2068E-06,-4.2352E-22,2.8292E-06,-1.4161E-21,1.0705E-05,0,0,0,0,0,0,package://4wheel_castle/meshes/RBC.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://4wheel_castle/meshes/RBC.STL,,CastleCatcher-1,Origin_RBC,Axis_RBC,RBC,continuous,0.041161,-0.015068,-0.0047875,-1.8784,-0.003856,3.1295,RBS,0,1,0,,,,,,,,,,,,
RBW,0.017679,0,1.3184E-16,0,0,0,0.19359,0.00025308,9.8997E-20,8.8197E-19,0.00013682,-4.2352E-22,0.00013682,0,0,0,0,0,0,package://4wheel_castle/meshes/RBW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_castle/meshes/RBW.STL,,wheel-1,Origin_RBW,Axis_RBW,RBW,continuous,0.010755,-0.016873,0,-1.5287,0,0,RBC,1,0,0,3.1,7,,,,,,,,,,
Lidar,-0.078493,0.74443,0.13345,0,0,0,0.073085,1.9581E-05,-4.2839E-07,1.0393E-07,4.1418E-05,-9.4273E-09,2.4125E-05,0,0,0,0,0,0,package://4wheel_castle/meshes/Lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://4wheel_castle/meshes/Lidar.STL,,RPLidar-1,Origin_Lidar,,Lidar,fixed,0.016589,0.23716,-0.56869,1.5708,0,0.026519,base_link,0,0,0,,,,,,,,,,,,
Cam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://4wheel_castle/meshes/Cam.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_castle/meshes/Cam.STL,,webcam-1,Origin_Cam,,Cam,fixed,-0.10697,0.13188,0.14474,1.7188,0,1.5348,base_link,0,0,0,,,,,,,,,,,,
